City,Objects,Coords
Paris,18,"[48.856614, 2.3522219]"
Metropolitan Museum of Art,17,"[40.7794366, -73.963244]"
New York,14,"[40.7127753, -74.0059728]"
Amsterdam,8,"[52.3702157, 4.8951679]"
Berlin,6,"[52.5200066, 13.404954]"
Rancho Mirage,5,"[33.739744, -116.41279]"
Zürich,5,"[47.3768866, 8.541694]"
Arles,4,"[43.676647, 4.6277769]"
London,4,"[51.5073509, -0.1277583]"
Düsseldorf,3,"[51.2277411, 6.7734556]"
The Hague,3,"[52.0704978, 4.3006999]"
Leiden,2,"[52.1601144, 4.4970096999999996]"
Basel,1,"[47.5595986, 7.5885761]"
Basel and Grunewald,1,"[47.5540319, 7.5941927]"
Budapest,1,"[47.497912, 19.040235]"
Copenhagen,1,"[55.6760968, 12.5683372]"
Essen,1,"[51.4556432, 7.0115552]"
Hagen,1,"[51.3670777, 7.4632841]"
Lausanne,1,"[46.5196535, 6.6322734]"
Los Angeles,1,"[34.0522342, -118.2436849]"
Mannheim,1,"[49.4874592, 8.4660395]"
Norwalk,1,"[41.117744, -73.4081575]"
Oxford,1,"[51.7548164, -1.2543668000000001]"
Rotterdam,1,"[51.9244201, 4.4777325999999995]"
Saint-Maur,1,"[48.8029439, 2.485429]"
San Francisco,1,"[37.7749295, -122.4194155]"
Serrières,1,"[45.318722, 4.763234]"
Switzerland,1,"[46.818188, 8.227512]"
Vaduz,1,"[47.1410303, 9.5209277]"
Vienna,1,"[48.2081743, 16.3738189]"
Warsaw,1,"[52.2296756, 21.0122287]"
Winterthur Switzerland,1,"[47.4988196, 8.723688899999999]"
